Date,City,Year,Month,Temperature_at_2m,Relative_Humidity_at_2m,Surface_Pressure,Wind_Speed_at_2m,Monthly_Precipitation,Rolling_3Month_Precipitation,SPI_3,Year_Month
1991-02-01,Taif,1991,2,22.420357142857142,41.417142857142856,95.49607142857143,2.7624999999999997,2.01,2.0999999999999996,-0.6335216132455589,1991-02
1991-03-01,Taif,1991,3,25.106129032258064,35.02161290322581,95.22870967741936,3.379354838709677,2.56,4.59,-0.15221750243833154,1991-03
1991-04-01,Taif,1991,4,31.038,29.808333333333334,95.14733333333334,3.4063333333333334,1.14,5.709999999999999,-0.10240920603209851,1991-04
1991-05-01,Taif,1991,5,33.523870967741935,29.646774193548385,95.04870967741937,2.9000000000000004,2.9,6.6,-0.21206507399584706,1991-05
1991-06-01,Taif,1991,6,34.94166666666667,19.082333333333334,94.72600000000001,3.3356666666666666,0.0,4.039999999999999,-0.33819694737153627,1991-06
1991-07-01,Taif,1991,7,33.1841935483871,26.07935483870968,94.75258064516129,3.204838709677419,0.0,2.9,-0.09412070441311157,1991-07
1991-08-01,Taif,1991,8,32.95612903225806,23.33967741935484,94.80806451612904,3.9129032258064513,0.0,0.0,-1.408135641148089,1991-08
1991-09-01,Taif,1991,9,32.815000000000005,29.804333333333332,95.00933333333334,2.819666666666667,0.01,0.010000000000000444,-1.0035790530988558,1991-09
1991-10-01,Taif,1991,10,29.06064516129032,35.42161290322581,95.28548387096774,2.7519354838709678,1.14,1.1500000000000004,-0.43186436404927764,1991-10
1991-11-01,Taif,1991,11,25.332,42.69133333333333,95.56633333333333,2.6326666666666667,4.2,5.3500000000000005,-0.12965220451932044,1991-11
1991-12-01,Taif,1991,12,21.84741935483871,52.51161290322581,95.58096774193548,2.244516129032258,0.46,5.800000000000001,-0.31988902385406015,1991-12
1992-01-01,Taif,1992,1,19.29741935483871,47.08774193548387,95.64645161290322,2.698387096774194,5.459999999999999,10.12,-0.13262184898630786,1992-01
1992-02-01,Taif,1992,2,18.391379310344828,41.91586206896552,95.64137931034483,3.031034482758621,0.12,6.04,-0.07884083231567415,1992-02
1992-03-01,Taif,1992,3,24.136774193548387,37.1683870967742,95.37903225806451,2.8280645161290323,0.15000000000000002,5.73,-0.012916610175691354,1992-03
1992-04-01,Taif,1992,4,27.795666666666666,27.191,95.17833333333333,3.030333333333333,0.02,0.2900000000000009,-1.2175134859029413,1992-04
1992-05-01,Taif,1992,5,31.374193548387098,27.526129032258062,95.06548387096775,2.836129032258065,4.6000000000000005,4.770000000000001,-0.4044295460346832,1992-05
1992-06-01,Taif,1992,6,33.75933333333333,19.07633333333333,94.78966666666666,2.9153333333333338,0.0,4.620000000000001,-0.26828937941182446,1992-06
1992-07-01,Taif,1992,7,33.20580645161291,22.84,94.81741935483872,3.093225806451613,0.0,4.600000000000001,0.13453069034930956,1992-07
1992-08-01,Taif,1992,8,32.135161290322586,37.37387096774193,94.89774193548386,3.236774193548387,0.67,0.6700000000000009,-0.2665437146066758,1992-08
1992-09-01,Taif,1992,9,32.908,28.689666666666668,94.93466666666667,2.8096666666666668,0.0,0.6700000000000009,-0.29739056668060915,1992-09
1992-10-01,Taif,1992,10,29.52709677419355,25.934193548387096,95.29677419354839,2.636774193548387,0.84,1.510000000000001,-0.3411244412502902,1992-10
1992-11-01,Taif,1992,11,24.732666666666667,48.638000000000005,95.46333333333334,2.51,21.21,22.05,0.752945856352093,1992-11
1992-12-01,Taif,1992,12,21.563870967741938,55.00064516129032,95.54161290322581,2.454838709677419,0.0,22.05,0.5638809254107386,1992-12
1993-01-01,Taif,1993,1,20.937419354838706,49.0158064516129,95.5958064516129,2.8193548387096774,0.28,21.490000000000002,0.45636985968818394,1993-01
1993-02-01,Taif,1993,2,20.77785714285714,43.00785714285714,95.51535714285714,3.0614285714285714,0.0,0.28,-1.3445141265731395,1993-02
1993-03-01,Taif,1993,3,25.240322580645163,42.559677419354834,95.3474193548387,3.124516129032258,0.45,0.73,-1.0259048144239702,1993-03
1993-04-01,Taif,1993,4,28.037333333333333,34.37766666666666,95.19766666666666,3.255666666666667,1.63,2.08,-0.5973429525942436,1993-04
1993-05-01,Taif,1993,5,31.57193548387097,32.40806451612903,95.02806451612904,2.9719354838709675,0.28,2.36,-0.772112531919342,1993-05
1993-06-01,Taif,1993,6,34.283,17.637333333333334,94.79966666666665,3.4170000000000003,0.0,1.91,-0.6904739482477763,1993-06
1993-07-01,Taif,1993,7,34.08516129032258,22.315806451612904,94.72741935483872,3.4438709677419355,0.13,0.41000000000000003,-0.7991503631006824,1993-07
1993-08-01,Taif,1993,8,34.32645161290322,21.89516129032258,94.79870967741937,3.6058064516129034,0.0,0.13,-0.5719783938023101,1993-08
1993-09-01,Taif,1993,9,33.43333333333333,30.11466666666667,94.87066666666666,2.758666666666667,0.0,0.13,-0.6562025490889468,1993-09
1993-10-01,Taif,1993,10,29.865161290322582,33.920645161290324,95.31064516129032,2.576451612903226,1.8000000000000003,1.8000000000000003,-0.27892622332632944,1993-10
1993-11-01,Taif,1993,11,26.521666666666665,43.434,95.409,2.5003333333333333,0.0,1.8000000000000003,-0.5920817469252264,1993-11
1993-12-01,Taif,1993,12,23.44645161290323,50.222580645161294,95.56870967741936,2.5064516129032257,17.42,19.220000000000002,0.45451571541757707,1993-12
1994-01-01,Taif,1994,1,22.968387096774194,47.85548387096774,95.47516129032257,2.6380645161290324,1.3399999999999999,18.76,0.33833119553601365,1994-01
1994-02-01,Taif,1994,2,22.96035714285714,42.65642857142857,95.44000000000001,2.5414285714285714,0.55,19.310000000000002,0.7774580941412088,1994-02
1994-03-01,Taif,1994,3,23.81451612903226,36.32387096774193,95.32064516129033,3.291935483870968,0.0,1.89,-0.6279727269391133,1994-03
1994-04-01,Taif,1994,4,29.663999999999998,37.022000000000006,95.105,3.0363333333333333,0.79,1.34,-0.770220634355688,1994-04
