Date,City,Actual_SPI_3,Predicted_SPI_3,Residual,Absolute_Error,Actual_Drought,Predicted_Drought,Actual_Status,Predicted_Status,Actual_SPI_Category,Predicted_SPI_Category,Predicted_Drought_LSTM,Actual_Condition,LSTM_Condition
2023-10-01,Riyadh,1.1872784,-0.07625347,1.2635318,1.2635318,0,0,No Drought,No Drought,Moderately Wet,Near Normal,0,No drought,No drought
2023-11-01,Riyadh,0.84469634,-0.18146804,1.0261644,1.0261644,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2023-12-01,Riyadh,0.6696065,0.2510834,0.4185231,0.4185231,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-01-01,Riyadh,0.105291426,0.31044436,-0.20515293,0.20515293,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-02-01,Riyadh,0.093186736,-0.26616767,0.3593544,0.3593544,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-03-01,Riyadh,0.5826297,0.23698503,0.34564465,0.34564465,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-04-01,Riyadh,1.5789483,1.2665864,0.31236184,0.31236184,0,0,No Drought,No Drought,Very Wet,Moderately Wet,0,No drought,No drought
2024-05-01,Riyadh,1.9499377,1.9926928,-0.042755127,0.042755127,0,0,No Drought,No Drought,Very Wet,Very Wet,0,No drought,No drought
2024-06-01,Riyadh,2.292187,1.8150368,0.4771502,0.4771502,0,0,No Drought,No Drought,Extremely Wet,Very Wet,0,No drought,No drought
2024-07-01,Riyadh,1.8232678,0.96187407,0.86139375,0.86139375,0,0,No Drought,No Drought,Very Wet,Near Normal,0,No drought,No drought
2024-08-01,Riyadh,-0.37919176,0.4585442,-0.83773595,0.83773595,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-09-01,Riyadh,-0.3487557,0.47977573,-0.8285314,0.8285314,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-10-01,Riyadh,0.58793324,0.31215373,0.27577952,0.27577952,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-11-01,Riyadh,0.3912131,-0.19196114,0.5831742,0.5831742,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
2024-12-01,Riyadh,-0.0043975995,-0.16924576,0.16484816,0.16484816,0,0,No Drought,No Drought,Near Normal,Near Normal,0,No drought,No drought
